game,type,target,predictor,predictor_type,r_squared,coef,p_value,vif,n_obs,n_predictors,r_squared_adj
athey_bagwell,combined_to_performance,average_profit,cooperation,magic,0.9682,29.6764,0.9727,556.17,24,9,0.9478
athey_bagwell,combined_to_performance,average_profit,deception,magic,0.9682,-872.4138,0.0346,11.84,24,9,0.9478
athey_bagwell,combined_to_performance,average_profit,rationality,magic,0.9682,2286.6123,0.008,210.78,24,9,0.9478
athey_bagwell,combined_to_performance,average_profit,reasoning,magic,0.9682,-2091.7039,0.0832,241.1,24,9,0.9478
athey_bagwell,combined_to_performance,average_profit,architecture_moe,feature,0.9682,159.555,0.3038,7.56,24,9,0.9478
athey_bagwell,combined_to_performance,average_profit,size_params,feature,0.9682,10.806,0.0071,12.02,24,9,0.9478
athey_bagwell,combined_to_performance,average_profit,family_encoded,feature,0.9682,548.0025,0.0002,8.27,24,9,0.9478
athey_bagwell,combined_to_performance,average_profit,family_version,feature,0.9682,176.3441,0.1317,8.89,24,9,0.9478
athey_bagwell,combined_to_performance,average_profit,thinking,feature,0.9682,119.9026,0.3519,3.36,24,9,0.9478
athey_bagwell,combined_to_performance,productive_efficiency,cooperation,magic,0.9971,-0.2342,0.0002,556.17,24,9,0.9952
athey_bagwell,combined_to_performance,productive_efficiency,deception,magic,0.9971,-0.0078,0.7104,11.84,24,9,0.9952
athey_bagwell,combined_to_performance,productive_efficiency,rationality,magic,0.9971,1.4256,0.0,210.78,24,9,0.9952
athey_bagwell,combined_to_performance,productive_efficiency,reasoning,magic,0.9971,0.6377,0.0,241.1,24,9,0.9952
athey_bagwell,combined_to_performance,productive_efficiency,architecture_moe,feature,0.9971,-0.0018,0.8327,7.56,24,9,0.9952
athey_bagwell,combined_to_performance,productive_efficiency,size_params,feature,0.9971,0.0001,0.715,12.02,24,9,0.9952
athey_bagwell,combined_to_performance,productive_efficiency,family_encoded,feature,0.9971,0.0092,0.1504,8.27,24,9,0.9952
athey_bagwell,combined_to_performance,productive_efficiency,family_version,feature,0.9971,-0.0007,0.9099,8.89,24,9,0.9952
athey_bagwell,combined_to_performance,productive_efficiency,thinking,feature,0.9971,-0.0046,0.5166,3.36,24,9,0.9952
athey_bagwell,combined_to_performance,win_rate,cooperation,magic,0.7848,1.0314,0.0084,556.17,24,9,0.6465
athey_bagwell,combined_to_performance,win_rate,deception,magic,0.7848,0.0215,0.8858,11.84,24,9,0.6465
athey_bagwell,combined_to_performance,win_rate,rationality,magic,0.7848,-0.678,0.036,210.78,24,9,0.6465
athey_bagwell,combined_to_performance,win_rate,reasoning,magic,0.7848,-0.8797,0.0668,241.1,24,9,0.6465
athey_bagwell,combined_to_performance,win_rate,architecture_moe,feature,0.7848,0.0135,0.823,7.56,24,9,0.6465
athey_bagwell,combined_to_performance,win_rate,size_params,feature,0.7848,0.0001,0.9237,12.02,24,9,0.6465
athey_bagwell,combined_to_performance,win_rate,family_encoded,feature,0.7848,-0.023,0.6017,8.27,24,9,0.6465
athey_bagwell,combined_to_performance,win_rate,family_version,feature,0.7848,0.0309,0.4897,8.89,24,9,0.6465
athey_bagwell,combined_to_performance,win_rate,thinking,feature,0.7848,0.0263,0.6017,3.36,24,9,0.6465
green_porter,combined_to_performance,average_profit,cooperation,magic,0.0345,-65.1417,0.9526,23.08,24,7,-0.3878
green_porter,combined_to_performance,average_profit,coordination,magic,0.0345,285.0201,0.7678,19.03,24,7,-0.3878
green_porter,combined_to_performance,average_profit,architecture_moe,feature,0.0345,133.6753,0.754,3.76,24,7,-0.3878
green_porter,combined_to_performance,average_profit,size_params,feature,0.0345,4.6687,0.6125,2.07,24,7,-0.3878
green_porter,combined_to_performance,average_profit,family_encoded,feature,0.0345,-217.275,0.7085,9.81,24,7,-0.3878
green_porter,combined_to_performance,average_profit,family_version,feature,0.0345,-148.7529,0.6717,4.68,24,7,-0.3878
green_porter,combined_to_performance,average_profit,thinking,feature,0.0345,147.5784,0.7664,2.59,24,7,-0.3878
green_porter,combined_to_performance,reversion_frequency,cooperation,magic,0.7476,-0.0134,0.003,23.08,24,7,0.6372
green_porter,combined_to_performance,reversion_frequency,coordination,magic,0.7476,0.0015,0.6599,19.03,24,7,0.6372
green_porter,combined_to_performance,reversion_frequency,architecture_moe,feature,0.7476,-0.001,0.5218,3.76,24,7,0.6372
green_porter,combined_to_performance,reversion_frequency,size_params,feature,0.7476,-0.0,0.4205,2.07,24,7,0.6372
green_porter,combined_to_performance,reversion_frequency,family_encoded,feature,0.7476,0.0002,0.9363,9.81,24,7,0.6372
green_porter,combined_to_performance,reversion_frequency,family_version,feature,0.7476,0.0002,0.8831,4.68,24,7,0.6372
green_porter,combined_to_performance,reversion_frequency,thinking,feature,0.7476,0.0009,0.5983,2.59,24,7,0.6372
green_porter,combined_to_performance,win_rate,cooperation,magic,0.6282,-0.0569,0.0781,23.08,24,7,0.4656
green_porter,combined_to_performance,win_rate,coordination,magic,0.6282,0.0491,0.0832,19.03,24,7,0.4656
green_porter,combined_to_performance,win_rate,architecture_moe,feature,0.6282,0.002,0.8642,3.76,24,7,0.4656
green_porter,combined_to_performance,win_rate,size_params,feature,0.6282,0.0003,0.1945,2.07,24,7,0.4656
green_porter,combined_to_performance,win_rate,family_encoded,feature,0.6282,0.0318,0.0639,9.81,24,7,0.4656
green_porter,combined_to_performance,win_rate,family_version,feature,0.6282,0.0056,0.5715,4.68,24,7,0.4656
green_porter,combined_to_performance,win_rate,thinking,feature,0.6282,-0.0402,0.0096,2.59,24,7,0.4656
salop,combined_to_performance,average_profit,cooperation,magic,0.8743,437.1812,0.2889,35.81,24,7,0.8193
salop,combined_to_performance,average_profit,reasoning,magic,0.8743,1558.3619,0.0013,8.37,24,7,0.8193
salop,combined_to_performance,average_profit,architecture_moe,feature,0.8743,134.7027,0.3281,3.98,24,7,0.8193
salop,combined_to_performance,average_profit,size_params,feature,0.8743,3.3639,0.4286,10.05,24,7,0.8193
salop,combined_to_performance,average_profit,family_encoded,feature,0.8743,135.213,0.6039,19.92,24,7,0.8193
salop,combined_to_performance,average_profit,family_version,feature,0.8743,22.9936,0.8623,7.03,24,7,0.8193
salop,combined_to_performance,average_profit,thinking,feature,0.8743,110.6826,0.7248,13.12,24,7,0.8193
salop,combined_to_performance,market_price,cooperation,magic,0.8632,1.3026,0.0311,35.81,24,7,0.8034
salop,combined_to_performance,market_price,reasoning,magic,0.8632,-0.3323,0.5558,8.37,24,7,0.8034
salop,combined_to_performance,market_price,architecture_moe,feature,0.8632,0.1951,0.3063,3.98,24,7,0.8034
salop,combined_to_performance,market_price,size_params,feature,0.8632,0.0115,0.0613,10.05,24,7,0.8034
salop,combined_to_performance,market_price,family_encoded,feature,0.8632,0.2395,0.5073,19.92,24,7,0.8034
salop,combined_to_performance,market_price,family_version,feature,0.8632,0.0933,0.612,7.03,24,7,0.8034
salop,combined_to_performance,market_price,thinking,feature,0.8632,0.7335,0.1052,13.12,24,7,0.8034
salop,combined_to_performance,win_rate,cooperation,magic,0.9675,-0.0584,0.6935,35.81,24,7,0.9533
salop,combined_to_performance,win_rate,reasoning,magic,0.9675,0.253,0.102,8.37,24,7,0.9533
salop,combined_to_performance,win_rate,architecture_moe,feature,0.9675,0.0996,0.0579,3.98,24,7,0.9533
salop,combined_to_performance,win_rate,size_params,feature,0.9675,0.0026,0.0999,10.05,24,7,0.9533
salop,combined_to_performance,win_rate,family_encoded,feature,0.9675,0.13,0.1823,19.92,24,7,0.9533
salop,combined_to_performance,win_rate,family_version,feature,0.9675,0.0246,0.612,7.03,24,7,0.9533
salop,combined_to_performance,win_rate,thinking,feature,0.9675,0.5342,0.0002,13.12,24,7,0.9533
spulber,combined_to_performance,allocative_efficiency,judgment,magic,0.988,0.0307,0.4171,30.79,24,9,0.9804
spulber,combined_to_performance,allocative_efficiency,rationality,magic,0.988,0.9704,0.0,115.75,24,9,0.9804
spulber,combined_to_performance,allocative_efficiency,reasoning,magic,0.988,-0.4066,0.0036,290.13,24,9,0.9804
spulber,combined_to_performance,allocative_efficiency,self_awareness,magic,0.988,-0.0043,0.9583,86.83,24,9,0.9804
spulber,combined_to_performance,allocative_efficiency,architecture_moe,feature,0.988,-0.0045,0.7888,3.85,24,9,0.9804
spulber,combined_to_performance,allocative_efficiency,size_params,feature,0.988,0.0001,0.7223,4.06,24,9,0.9804
spulber,combined_to_performance,allocative_efficiency,family_encoded,feature,0.988,0.0171,0.4412,8.59,24,9,0.9804
spulber,combined_to_performance,allocative_efficiency,family_version,feature,0.988,0.0134,0.3124,4.13,24,9,0.9804
spulber,combined_to_performance,allocative_efficiency,thinking,feature,0.988,-0.0091,0.5585,2.02,24,9,0.9804
spulber,combined_to_performance,average_profit,judgment,magic,0.9544,120.951,0.1381,30.79,24,9,0.925
spulber,combined_to_performance,average_profit,rationality,magic,0.9544,220.6805,0.3556,115.75,24,9,0.925
spulber,combined_to_performance,average_profit,reasoning,magic,0.9544,1448.6762,0.0,290.13,24,9,0.925
spulber,combined_to_performance,average_profit,self_awareness,magic,0.9544,435.1496,0.021,86.83,24,9,0.925
spulber,combined_to_performance,average_profit,architecture_moe,feature,0.9544,57.7046,0.116,3.85,24,9,0.925
spulber,combined_to_performance,average_profit,size_params,feature,0.9544,1.5959,0.0421,4.06,24,9,0.925
spulber,combined_to_performance,average_profit,family_encoded,feature,0.9544,17.9625,0.6972,8.59,24,9,0.925
spulber,combined_to_performance,average_profit,family_version,feature,0.9544,-14.7985,0.5878,4.13,24,9,0.925
spulber,combined_to_performance,average_profit,thinking,feature,0.9544,89.246,0.014,2.02,24,9,0.925
spulber,combined_to_performance,win_rate,judgment,magic,0.9872,0.1468,0.0976,30.79,24,9,0.979
spulber,combined_to_performance,win_rate,rationality,magic,0.9872,-0.2587,0.3153,115.75,24,9,0.979
spulber,combined_to_performance,win_rate,reasoning,magic,0.9872,3.1042,0.0,290.13,24,9,0.979
spulber,combined_to_performance,win_rate,self_awareness,magic,0.9872,1.0026,0.0001,86.83,24,9,0.979
spulber,combined_to_performance,win_rate,architecture_moe,feature,0.9872,0.0451,0.244,3.85,24,9,0.979
spulber,combined_to_performance,win_rate,size_params,feature,0.9872,0.0005,0.5024,4.06,24,9,0.979
spulber,combined_to_performance,win_rate,family_encoded,feature,0.9872,-0.0607,0.2327,8.59,24,9,0.979
spulber,combined_to_performance,win_rate,family_version,feature,0.9872,-0.0544,0.0786,4.13,24,9,0.979
spulber,combined_to_performance,win_rate,thinking,feature,0.9872,0.0599,0.1018,2.02,24,9,0.979
